id,tip
21,2.4375
132,1.6875
170,5.53125
131,2.484375
99,2.09375
174,2.125
6,1.546875
149,1.3125
227,3.5
228,1.78125
194,2.03125
90,3.46875
42,1.984375
128,1.703125
84,2.0625
144,2.140625
173,3.46875
87,2.25
240,2.96875
60,2.3125
114,3.578125
102,5.015625
68,2.40625
197,5.484375
148,1.5
22,2.046875
206,3.40625
54,4.078125
1,2.203125
162,2.734375
198,1.765625
107,2.75
225,2.25
154,3.578125
72,2.9375
136,1.609375
145,1.4375
232,1.65625
26,1.8125
69,1.84375
203,2.0625
92,1.453125
113,2.859375
19,2.96875
35,3.28125
234,1.90625
34,2.1875
46,2.734375
126,1.40625
